Model,Scope,Effect,Topic,Count
Qwen2.5-72B-IT,all,affected,elections,836
Qwen2.5-72B-IT,all,affected,politics,363
Qwen2.5-72B-IT,all,affected,white_house,295
Qwen2.5-72B-IT,all,affected,immigration,230
Qwen2.5-72B-IT,all,affected,healthcare,203
Qwen2.5-72B-IT,all,affected,coronavirus,161
Qwen2.5-72B-IT,all,affected,media_bias,148
Qwen2.5-72B-IT,all,affected,middle_east,136
Qwen2.5-72B-IT,all,affected,supreme_court,128
Qwen2.5-72B-IT,all,affected,gun_control_and_gun_rights,114
Qwen2.5-72B-IT,left,affected,elections,317
Qwen2.5-72B-IT,left,affected,politics,145
Qwen2.5-72B-IT,left,affected,white_house,128
Qwen2.5-72B-IT,left,affected,immigration,85
Qwen2.5-72B-IT,left,affected,healthcare,83
Qwen2.5-72B-IT,left,affected,media_bias,61
Qwen2.5-72B-IT,left,affected,coronavirus,53
Qwen2.5-72B-IT,left,affected,middle_east,51
Qwen2.5-72B-IT,left,affected,supreme_court,43
Qwen2.5-72B-IT,left,affected,foreign_policy,41
Qwen2.5-72B-IT,center,affected,elections,152
Qwen2.5-72B-IT,center,affected,white_house,67
Qwen2.5-72B-IT,center,affected,politics,63
Qwen2.5-72B-IT,center,affected,immigration,53
Qwen2.5-72B-IT,center,affected,healthcare,38
Qwen2.5-72B-IT,center,affected,media_bias,26
Qwen2.5-72B-IT,center,affected,coronavirus,24
Qwen2.5-72B-IT,center,affected,us_senate,22
Qwen2.5-72B-IT,center,affected,us_house,22
Qwen2.5-72B-IT,center,affected,supreme_court,20
Qwen2.5-72B-IT,right,affected,elections,367
Qwen2.5-72B-IT,right,affected,politics,155
Qwen2.5-72B-IT,right,affected,white_house,100
Qwen2.5-72B-IT,right,affected,immigration,92
Qwen2.5-72B-IT,right,affected,coronavirus,84
Qwen2.5-72B-IT,right,affected,healthcare,82
Qwen2.5-72B-IT,right,affected,middle_east,72
Qwen2.5-72B-IT,right,affected,supreme_court,65
Qwen2.5-72B-IT,right,affected,media_bias,61
Qwen2.5-72B-IT,right,affected,economy_and_jobs,56
Mistral-Small-24B-IT,all,affected,elections,883
Mistral-Small-24B-IT,all,affected,politics,403
Mistral-Small-24B-IT,all,affected,white_house,320
Mistral-Small-24B-IT,all,affected,immigration,254
Mistral-Small-24B-IT,all,affected,healthcare,206
Mistral-Small-24B-IT,all,affected,media_bias,163
Mistral-Small-24B-IT,all,affected,coronavirus,147
Mistral-Small-24B-IT,all,affected,supreme_court,134
Mistral-Small-24B-IT,all,affected,us_house,125
Mistral-Small-24B-IT,all,affected,gun_control_and_gun_rights,125
Mistral-Small-24B-IT,left,affected,elections,449
Mistral-Small-24B-IT,left,affected,politics,213
Mistral-Small-24B-IT,left,affected,white_house,184
Mistral-Small-24B-IT,left,affected,immigration,136
Mistral-Small-24B-IT,left,affected,healthcare,113
Mistral-Small-24B-IT,left,affected,media_bias,98
Mistral-Small-24B-IT,left,affected,gun_control_and_gun_rights,68
Mistral-Small-24B-IT,left,affected,coronavirus,67
Mistral-Small-24B-IT,left,affected,supreme_court,62
Mistral-Small-24B-IT,left,affected,us_senate,56
Mistral-Small-24B-IT,center,affected,elections,189
Mistral-Small-24B-IT,center,affected,politics,100
Mistral-Small-24B-IT,center,affected,white_house,79
Mistral-Small-24B-IT,center,affected,immigration,70
Mistral-Small-24B-IT,center,affected,healthcare,51
Mistral-Small-24B-IT,center,affected,supreme_court,37
Mistral-Small-24B-IT,center,affected,us_house,36
Mistral-Small-24B-IT,center,affected,media_bias,36
Mistral-Small-24B-IT,center,affected,coronavirus,27
Mistral-Small-24B-IT,center,affected,foreign_policy,26
Mistral-Small-24B-IT,right,affected,elections,245
Mistral-Small-24B-IT,right,affected,politics,90
Mistral-Small-24B-IT,right,affected,white_house,57
Mistral-Small-24B-IT,right,affected,coronavirus,53
Mistral-Small-24B-IT,right,affected,immigration,48
Mistral-Small-24B-IT,right,affected,violence_in_america,44
Mistral-Small-24B-IT,right,affected,healthcare,42
Mistral-Small-24B-IT,right,affected,middle_east,39
Mistral-Small-24B-IT,right,affected,us_house,39
Mistral-Small-24B-IT,right,affected,us_senate,36
Phi-4-IT,all,affected,elections,703
Phi-4-IT,all,affected,politics,340
Phi-4-IT,all,affected,white_house,238
Phi-4-IT,all,affected,healthcare,181
Phi-4-IT,all,affected,immigration,173
Phi-4-IT,all,affected,media_bias,141
Phi-4-IT,all,affected,coronavirus,114
Phi-4-IT,all,affected,supreme_court,95
Phi-4-IT,all,affected,violence_in_america,88
Phi-4-IT,all,affected,middle_east,88
Phi-4-IT,left,affected,elections,204
Phi-4-IT,left,affected,politics,110
Phi-4-IT,left,affected,white_house,89
Phi-4-IT,left,affected,healthcare,69
Phi-4-IT,left,affected,immigration,55
Phi-4-IT,left,affected,media_bias,43
Phi-4-IT,left,affected,supreme_court,40
Phi-4-IT,left,affected,coronavirus,38
Phi-4-IT,left,affected,us_senate,32
Phi-4-IT,left,affected,national_security,28
Phi-4-IT,center,affected,elections,191
Phi-4-IT,center,affected,politics,92
Phi-4-IT,center,affected,white_house,73
Phi-4-IT,center,affected,healthcare,57
Phi-4-IT,center,affected,immigration,49
Phi-4-IT,center,affected,media_bias,35
Phi-4-IT,center,affected,coronavirus,31
Phi-4-IT,center,affected,foreign_policy,29
Phi-4-IT,center,affected,gun_control_and_gun_rights,29
Phi-4-IT,center,affected,world,28
Phi-4-IT,right,affected,elections,308
Phi-4-IT,right,affected,politics,138
Phi-4-IT,right,affected,white_house,76
Phi-4-IT,right,affected,immigration,69
Phi-4-IT,right,affected,media_bias,63
Phi-4-IT,right,affected,healthcare,55
Phi-4-IT,right,affected,coronavirus,45
Phi-4-IT,right,affected,middle_east,39
Phi-4-IT,right,affected,us_house,37
Phi-4-IT,right,affected,violence_in_america,34
Llama-3.3-70B-IT,all,affected,elections,549
Llama-3.3-70B-IT,all,affected,politics,275
Llama-3.3-70B-IT,all,affected,white_house,208
Llama-3.3-70B-IT,all,affected,immigration,177
Llama-3.3-70B-IT,all,affected,healthcare,122
Llama-3.3-70B-IT,all,affected,coronavirus,118
Llama-3.3-70B-IT,all,affected,gun_control_and_gun_rights,89
Llama-3.3-70B-IT,all,affected,supreme_court,82
Llama-3.3-70B-IT,all,affected,environment,82
Llama-3.3-70B-IT,all,affected,us_senate,73
Llama-3.3-70B-IT,left,affected,elections,197
Llama-3.3-70B-IT,left,affected,white_house,103
Llama-3.3-70B-IT,left,affected,politics,101
Llama-3.3-70B-IT,left,affected,immigration,67
Llama-3.3-70B-IT,left,affected,healthcare,47
Llama-3.3-70B-IT,left,affected,coronavirus,45
Llama-3.3-70B-IT,left,affected,supreme_court,34
Llama-3.3-70B-IT,left,affected,media_bias,29
Llama-3.3-70B-IT,left,affected,federal_budget,25
Llama-3.3-70B-IT,left,affected,us_senate,24
Llama-3.3-70B-IT,center,affected,elections,180
Llama-3.3-70B-IT,center,affected,politics,97
Llama-3.3-70B-IT,center,affected,white_house,70
Llama-3.3-70B-IT,center,affected,immigration,57
Llama-3.3-70B-IT,center,affected,healthcare,36
Llama-3.3-70B-IT,center,affected,gun_control_and_gun_rights,32
Llama-3.3-70B-IT,center,affected,coronavirus,29
Llama-3.3-70B-IT,center,affected,us_house,27
Llama-3.3-70B-IT,center,affected,supreme_court,27
Llama-3.3-70B-IT,center,affected,us_senate,26
Llama-3.3-70B-IT,right,affected,elections,172
Llama-3.3-70B-IT,right,affected,politics,77
Llama-3.3-70B-IT,right,affected,immigration,53
Llama-3.3-70B-IT,right,affected,coronavirus,44
Llama-3.3-70B-IT,right,affected,environment,39
Llama-3.3-70B-IT,right,affected,healthcare,39
Llama-3.3-70B-IT,right,affected,gun_control_and_gun_rights,36
Llama-3.3-70B-IT,right,affected,white_house,35
Llama-3.3-70B-IT,right,affected,middle_east,32
Llama-3.3-70B-IT,right,affected,world,30
Gemma-2-27B-IT,all,affected,elections,859
Gemma-2-27B-IT,all,affected,politics,376
Gemma-2-27B-IT,all,affected,white_house,294
Gemma-2-27B-IT,all,affected,immigration,242
Gemma-2-27B-IT,all,affected,healthcare,199
Gemma-2-27B-IT,all,affected,coronavirus,148
Gemma-2-27B-IT,all,affected,media_bias,141
Gemma-2-27B-IT,all,affected,middle_east,127
Gemma-2-27B-IT,all,affected,supreme_court,123
Gemma-2-27B-IT,all,affected,us_senate,110
Gemma-2-27B-IT,left,affected,elections,397
Gemma-2-27B-IT,left,affected,politics,197
Gemma-2-27B-IT,left,affected,white_house,152
Gemma-2-27B-IT,left,affected,immigration,126
Gemma-2-27B-IT,left,affected,healthcare,106
Gemma-2-27B-IT,left,affected,coronavirus,83
Gemma-2-27B-IT,left,affected,middle_east,78
Gemma-2-27B-IT,left,affected,media_bias,73
Gemma-2-27B-IT,left,affected,supreme_court,61
Gemma-2-27B-IT,left,affected,economy_and_jobs,55
Gemma-2-27B-IT,center,affected,elections,151
Gemma-2-27B-IT,center,affected,politics,63
Gemma-2-27B-IT,center,affected,white_house,51
Gemma-2-27B-IT,center,affected,immigration,42
Gemma-2-27B-IT,center,affected,healthcare,32
Gemma-2-27B-IT,center,affected,coronavirus,23
Gemma-2-27B-IT,center,affected,media_bias,23
Gemma-2-27B-IT,center,affected,gun_control_and_gun_rights,23
Gemma-2-27B-IT,center,affected,us_senate,22
Gemma-2-27B-IT,center,affected,us_house,21
Gemma-2-27B-IT,right,affected,elections,311
Gemma-2-27B-IT,right,affected,politics,116
Gemma-2-27B-IT,right,affected,white_house,91
Gemma-2-27B-IT,right,affected,immigration,74
Gemma-2-27B-IT,right,affected,healthcare,61
Gemma-2-27B-IT,right,affected,us_house,46
Gemma-2-27B-IT,right,affected,media_bias,45
Gemma-2-27B-IT,right,affected,environment,43
Gemma-2-27B-IT,right,affected,supreme_court,43
Gemma-2-27B-IT,right,affected,coronavirus,42
GPT-4.1-IT,all,affected,elections,757
GPT-4.1-IT,all,affected,politics,300
GPT-4.1-IT,all,affected,white_house,280
GPT-4.1-IT,all,affected,immigration,218
GPT-4.1-IT,all,affected,healthcare,179
GPT-4.1-IT,all,affected,supreme_court,123
GPT-4.1-IT,all,affected,middle_east,115
GPT-4.1-IT,all,affected,coronavirus,112
GPT-4.1-IT,all,affected,us_house,111
GPT-4.1-IT,all,affected,gun_control_and_gun_rights,108
GPT-4.1-IT,left,affected,elections,280
GPT-4.1-IT,left,affected,white_house,111
GPT-4.1-IT,left,affected,politics,108
GPT-4.1-IT,left,affected,immigration,76
GPT-4.1-IT,left,affected,healthcare,72
GPT-4.1-IT,left,affected,supreme_court,45
GPT-4.1-IT,left,affected,gun_control_and_gun_rights,41
GPT-4.1-IT,left,affected,middle_east,38
GPT-4.1-IT,left,affected,us_senate,36
GPT-4.1-IT,left,affected,federal_budget,35
GPT-4.1-IT,center,affected,elections,150
GPT-4.1-IT,center,affected,politics,68
GPT-4.1-IT,center,affected,white_house,62
GPT-4.1-IT,center,affected,immigration,54
GPT-4.1-IT,center,affected,healthcare,33
GPT-4.1-IT,center,affected,us_senate,26
GPT-4.1-IT,center,affected,coronavirus,26
GPT-4.1-IT,center,affected,gun_control_and_gun_rights,26
GPT-4.1-IT,center,affected,us_house,25
GPT-4.1-IT,center,affected,media_bias,24
GPT-4.1-IT,right,affected,elections,327
GPT-4.1-IT,right,affected,politics,124
GPT-4.1-IT,right,affected,white_house,107
GPT-4.1-IT,right,affected,immigration,88
GPT-4.1-IT,right,affected,healthcare,74
GPT-4.1-IT,right,affected,supreme_court,59
GPT-4.1-IT,right,affected,middle_east,55
GPT-4.1-IT,right,affected,coronavirus,51
GPT-4.1-IT,right,affected,us_house,51
GPT-4.1-IT,right,affected,foreign_policy,44
ALL_MODELS,all,affected,elections,4587
ALL_MODELS,all,affected,politics,2057
ALL_MODELS,all,affected,white_house,1635
ALL_MODELS,all,affected,immigration,1294
ALL_MODELS,all,affected,healthcare,1090
ALL_MODELS,all,affected,coronavirus,800
ALL_MODELS,all,affected,media_bias,746
ALL_MODELS,all,affected,supreme_court,685
ALL_MODELS,all,affected,middle_east,644
ALL_MODELS,all,affected,gun_control_and_gun_rights,629
